Blocks,Age,Faults,Time,Result,Output
1,0,0,50,0.039,1
1,0,3,50,0.01,0
1,0,0,50,0.039,0
1,0,0,50,0.039,0
1,0,0,50,0.039,0
1,0,0,50,0.039,0
1,0,0,50,0.039,0
1,0,20,50,0.002,0
2,0,0,73,0.052,0
1,1,3,50,0.022,0
1,1,0,50,0.088,1
1,1,0,50,0.088,0
1,1,0,50,0.088,0
1,1,0,50,0.088,0
1,1,0,50,0.088,0
1,1,20,50,0.004,0
2,1,0,73,0.13,0
1,2,3,50,0.047,0
2,0,0,90,0.043,0
1,2,0,50,0.186,1
1,2,0,50,0.186,0
1,2,0,50,0.186,0
1,2,0,50,0.186,0
1,2,20,50,0.009,0
2,2,0,73,0.26,0
1,3,3,50,0.082,0
2,1,0,90,0.106,0
2,0,0,61,0.062,0
1,3,0,50,0.324,1
1,3,0,50,0.324,0
1,3,0,50,0.324,0
1,3,20,50,0.016,0
2,3,0,73,0.442,0
1,4,3,50,0.127,0
2,2,0,90,0.213,0
2,1,0,61,0.154,0
2,0,0,69,0.055,0
1,4,0,50,0.5,1
1,4,0,50,0.5,0
1,4,20,50,0.024,0
2,4,0,73,0.675,0
1,5,3,50,0.182,0
2,3,0,90,0.362,0
2,2,0,61,0.308,0
2,1,0,69,0.137,0
2,0,0,72,0.053,0
1,5,0,50,0.716,1
1,5,20,50,0.035,0
2,5,0,73,0.961,1
1,6,3,50,0.246,0
2,4,0,90,0.553,0
2,3,0,61,0.523,0
2,2,0,69,0.274,0
2,1,0,72,0.132,0
2,0,0,131,0.03,0
1,6,20,50,0.047,0
3,0,0,150,0.038,0
1,7,3,50,0.32,0
2,5,0,90,0.78,0
2,4,0,61,0.79,1
2,3,0,69,0.457,0
2,2,0,72,0.254,0
2,1,0,131,0.069,0
1,7,20,50,0.061,0
3,1,0,150,0.094,0
1,8,3,50,0.405,0
2,6,0,90,1.057,1
3,0,0,71,0.075,0
2,4,0,69,0.703,0
2,3,0,72,0.439,0
2,2,0,131,0.143,0
1,8,20,50,0.077,0
3,2,0,150,0.189,0
1,9,3,50,0.499,0
3,0,0,159,0.036,0
3,1,0,71,0.188,0
2,5,0,69,1.005,1
2,4,0,72,0.675,0
2,3,0,131,0.247,0
1,9,20,50,0.095,0
3,3,0,150,0.321,0
1,10,3,50,0.604,0
3,1,0,159,0.089,0
3,2,0,71,0.375,0
3,0,0,100,0.055,0
2,5,0,72,0.965,1
2,4,0,131,0.38,0
1,10,20,50,0.115,0
3,4,0,150,0.491,0
1,11,3,50,0.718,1
3,2,0,159,0.179,0
3,3,0,71,0.637,0
3,1,0,100,0.138,0
3,0,0,114,0.049,0
2,5,0,131,0.543,0
1,11,20,50,0.137,0
3,5,0,150,0.698,0
2,0,3,89,0.009,0
3,3,0,159,0.304,0
3,4,0,71,0.975,1
3,2,0,100,0.275,0
3,1,0,114,0.122,0
2,6,0,131,0.736,0
1,12,20,50,0.161,0
3,6,0,150,0.939,0
2,1,3,89,0.025,0
3,4,0,159,0.46,0
4,0,0,85,0.079,0
3,3,0,100,0.461,0
3,2,0,114,0.238,0
2,7,0,131,0.956,1
1,13,20,50,0.187,0
3,7,0,150,1.222,1
2,2,3,89,0.053,0
3,5,0,159,0.656,0
4,1,0,85,0.198,0
3,4,0,100,0.709,0
3,3,0,114,0.409,0
3,0,0,181,0.028,0
1,14,20,50,0.214,0
4,0,0,211,0.035,0
2,3,3,89,0.092,0
3,6,0,159,0.888,0
4,2,0,85,0.396,0
3,5,0,100,1.011,1
3,4,0,114,0.628,0
3,1,0,181,0.075,0
1,15,20,50,0.244,0
4,1,0,211,0.088,0
2,4,3,89,0.142,0
3,7,0,159,1.156,1
4,3,0,85,0.673,0
4,0,0,136,0.053,0
3,5,0,114,0.896,0
3,2,0,181,0.154,0
1,16,20,50,0.275,0
4,2,0,211,0.176,0
2,5,3,89,0.203,0
4,0,0,187,0.039,0
4,4,0,85,1.03,0
4,1,0,136,0.132,0
3,6,0,114,1.213,1
3,3,0,181,0.264,0
1,17,20,50,0.309,0
4,3,0,211,0.3,0
2,6,3,89,0.275,0
4,1,0,187,0.099,0
4,5,0,85,1.465,1
4,2,0,136,0.263,0
4,0,0,150,0.048,0
3,4,0,181,0.407,0
1,18,20,50,0.344,0
4,4,0,211,0.455,0
2,7,3,89,0.358,0
4,2,0,187,0.193,0
5,0,0,139,0.061,0
4,3,0,136,0.442,0
4,1,0,150,0.116,0
3,5,0,181,0.578,1
1,19,20,50,0.381,0
4,5,0,211,0.648,0
2,8,3,89,0.452,0
4,3,0,187,0.331,0
5,1,0,139,0.152,0
4,4,0,136,0.679,1
4,2,0,150,0.236,0
4,0,0,220,0.031,0
1,20,20,50,0.42,0
4,6,0,211,0.878,1
2,9,3,89,0.558,0
4,4,0,187,0.508,0
5,2,0,139,0.305,0
5,0,0,180,0.049,0
4,3,0,150,0.405,0
4,1,0,220,0.081,0
1,21,20,50,0.461,0
5,0,0,233,0.039,0
2,10,3,89,0.674,0
4,5,0,187,0.725,1
5,3,0,139,0.518,0
5,1,0,180,0.122,0
4,4,0,150,0.622,0
4,2,0,220,0.166,0
1,22,20,50,0.504,0
5,1,0,233,0.097,0
2,11,3,89,0.802,0
5,0,0,205,0.043,0
5,4,0,139,0.793,0
5,2,0,180,0.244,0
4,5,0,150,0.887,1
4,3,0,220,0.285,0
1,23,20,50,0.548,0
5,2,0,233,0.194,0
2,12,3,89,0.941,0
5,1,0,205,0.109,0
5,5,0,139,1.128,1
5,3,0,180,0.415,0
5,0,0,317,0.029,0
4,4,0,220,0.437,0
1,24,20,50,0.595,0
5,3,0,233,0.326,0
2,13,3,89,1.091,1
5,2,0,205,0.214,0
6,0,0,270,0.039,0
5,4,0,180,0.63,0
5,1,0,317,0.071,0
4,5,0,220,0.621,0
1,25,20,50,0.643,0
5,4,0,233,0.501,0
3,0,3,93,0.012,0
5,3,0,205,0.366,0
6,1,0,270,0.098,0
5,5,0,180,0.898,1
5,2,0,317,0.144,0
4,6,0,220,0.842,0
1,26,20,50,0.694,0
5,5,0,233,0.714,0
3,1,3,93,0.035,0
5,4,0,205,0.562,0
6,2,0,270,0.196,0
6,0,0,207,0.049,0
5,3,0,317,0.246,0
4,7,0,220,1.096,1
1,27,20,50,0.746,0
5,6,0,233,0.966,1
3,2,3,93,0.075,0
5,5,0,205,0.801,0
6,3,0,270,0.333,0
6,1,0,207,0.123,0
5,4,0,317,0.378,0
5,0,0,264,0.032,0
1,28,20,50,0.8,0
6,0,0,257,0.041,0
3,3,3,93,0.13,0
5,6,0,205,1.083,1
6,4,0,270,0.51,0
6,2,0,207,0.247,0
5,5,0,317,0.538,0
5,1,0,264,0.084,0
1,29,20,50,0.856,0
6,1,0,257,0.102,0
3,4,3,93,0.201,0
6,0,0,280,0.038,0
6,5,0,270,0.725,0
6,3,0,207,0.42,0
5,6,0,317,0.729,0
5,2,0,264,0.17,0
1,30,20,50,0.915,1
6,2,0,257,0.205,0
3,5,3,93,0.287,0
6,1,0,280,0.095,0
6,6,0,270,0.98,1
6,4,0,207,0.642,0
5,7,0,317,0.948,0
5,3,0,264,0.291,0
2,0,20,65,0.002,0
6,3,0,257,0.345,0
3,6,3,93,0.389,0
6,2,0,280,0.187,0
7,0,0,337,0.036,0
6,5,0,207,0.91,0
5,8,0,317,1.195,1
5,4,0,264,0.445,0
2,1,20,65,0.006,0
6,4,0,257,0.529,0
3,7,3,93,0.507,0
6,3,0,280,0.32,0
7,1,0,337,0.091,0
6,6,0,207,1.231,1
6,0,0,345,0.029,0
5,5,0,264,0.635,0
2,2,20,65,0.014,0
6,5,0,257,0.755,0
3,8,3,93,0.641,0
6,4,0,280,0.491,0
7,2,0,337,0.181,0
7,0,0,244,0.048,0
6,1,0,345,0.076,0
5,6,0,264,0.86,1
2,3,20,65,0.024,0
6,6,0,257,1.021,1
3,9,3,93,0.791,0
6,5,0,280,0.7,0
7,3,0,337,0.308,0
7,1,0,244,0.119,0
6,2,0,345,0.155,0
6,0,0,289,0.034,0
2,4,20,65,0.037,0
7,0,0,283,0.042,0
3,10,3,93,0.956,1
6,6,0,280,0.947,0
7,4,0,337,0.472,0
7,2,0,244,0.239,0
6,3,0,345,0.265,0
6,1,0,289,0.09,0
2,5,20,65,0.053,0
7,1,0,283,0.105,0
4,0,3,121,0.013,0
6,7,0,280,1.231,1
7,5,0,337,0.671,0
7,3,0,244,0.406,0
6,4,0,345,0.407,0
6,2,0,289,0.182,0
2,6,20,65,0.072,0
7,2,0,283,0.211,0
4,1,3,121,0.037,0
7,0,0,346,0.035,0
7,6,0,337,0.907,1
7,4,0,244,0.621,0
6,5,0,345,0.58,0
